District,Gender,Locality,Age ,Percentage,Economic Activity,District in Map
BHAKKAR DISTRICT,Female,Urban,45 - 49,89.08%,House Keeping,Bhakkar
BHAKKAR DISTRICT,Female,Urban,50 - 54,90.27%,House Keeping,Bhakkar
BHAKKAR DISTRICT,Female,Urban,55 - 59,90.12%,House Keeping,Bhakkar
BHAKKAR DISTRICT,Female,Urban,60 - 64,91.48%,House Keeping,Bhakkar
BHAKKAR DISTRICT,Female,Urban,65 - 69,88.72%,House Keeping,Bhakkar
BHAKKAR DISTRICT,Female,Urban,70 - 74,81.76%,House Keeping,Bhakkar
BHAKKAR DISTRICT,Female,Urban,75 & ABOVE,79.06%,House Keeping,Bhakkar
BHAKKAR DISTRICT,Female,Urban,Between 10-14,13.21%,House Keeping,Bhakkar
BHAKKAR DISTRICT,Male,Rural,10 & ABOVE,15.68%,House Keeping,Bhakkar
BHAKKAR DISTRICT,Male,Rural,15 -  19,14.03%,House Keeping,Bhakkar
BHAKKAR DISTRICT,Male,Rural,20 - 24,16.71%,House Keeping,Bhakkar
BHAKKAR DISTRICT,Male,Rural,25 - 29,16.80%,House Keeping,Bhakkar
BHAKKAR DISTRICT,Male,Rural,30 - 34,16.50%,House Keeping,Bhakkar
BHAKKAR DISTRICT,Male,Rural,35 - 39,16.37%,House Keeping,Bhakkar
BHAKKAR DISTRICT,Male,Rural,40 - 44,16.57%,House Keeping,Bhakkar
BHAKKAR DISTRICT,Male,Rural,45 - 49,16.82%,House Keeping,Bhakkar
BHAKKAR DISTRICT,Male,Rural,50 - 54,17.37%,House Keeping,Bhakkar
BHAKKAR DISTRICT,Male,Rural,55 - 59,18.80%,House Keeping,Bhakkar
BHAKKAR DISTRICT,Male,Rural,60 - 64,21.34%,House Keeping,Bhakkar
BHAKKAR DISTRICT,Male,Rural,65 - 69,22.63%,House Keeping,Bhakkar
BHAKKAR DISTRICT,Male,Rural,70 - 74,24.71%,House Keeping,Bhakkar
BHAKKAR DISTRICT,Male,Rural,75 & ABOVE,25.60%,House Keeping,Bhakkar
BHAKKAR DISTRICT,Male,Rural,Between 10-14,9.03%,House Keeping,Bhakkar
BHAKKAR DISTRICT,Male,Urban,10 & ABOVE,4.58%,House Keeping,Bhakkar
BHAKKAR DISTRICT,Male,Urban,15 -  19,3.84%,House Keeping,Bhakkar
BHAKKAR DISTRICT,Male,Urban,20 - 24,4.30%,House Keeping,Bhakkar
BHAKKAR DISTRICT,Male,Urban,25 - 29,4.01%,House Keeping,Bhakkar
BHAKKAR DISTRICT,Male,Urban,30 - 34,3.52%,House Keeping,Bhakkar
BHAKKAR DISTRICT,Male,Urban,35 - 39,3.77%,House Keeping,Bhakkar
BHAKKAR DISTRICT,Male,Urban,40 - 44,3.31%,House Keeping,Bhakkar
BHAKKAR DISTRICT,Male,Urban,45 - 49,3.39%,House Keeping,Bhakkar
BHAKKAR DISTRICT,Male,Urban,50 - 54,3.97%,House Keeping,Bhakkar
BHAKKAR DISTRICT,Male,Urban,55 - 59,5.55%,House Keeping,Bhakkar
BHAKKAR DISTRICT,Male,Urban,60 - 64,9.76%,House Keeping,Bhakkar
BHAKKAR DISTRICT,Male,Urban,65 - 69,12.32%,House Keeping,Bhakkar
BHAKKAR DISTRICT,Male,Urban,70 - 74,17.51%,House Keeping,Bhakkar
BHAKKAR DISTRICT,Male,Urban,75 & ABOVE,18.54%,House Keeping,Bhakkar
BHAKKAR DISTRICT,Male,Urban,Between 10-14,3.36%,House Keeping,Bhakkar
BHAKKAR DISTRICT,Transgender,Rural,10 & ABOVE,62.37%,House Keeping,Bhakkar
BHAKKAR DISTRICT,Transgender,Rural,15 -  19,62.50%,House Keeping,Bhakkar
BHAKKAR DISTRICT,Transgender,Rural,20 - 24,33.33%,House Keeping,Bhakkar
BHAKKAR DISTRICT,Transgender,Rural,25 - 29,55.56%,House Keeping,Bhakkar
BHAKKAR DISTRICT,Transgender,Rural,30 - 34,66.67%,House Keeping,Bhakkar
BHAKKAR DISTRICT,Transgender,Rural,35 - 39,62.50%,House Keeping,Bhakkar
BHAKKAR DISTRICT,Transgender,Rural,40 - 44,57.14%,House Keeping,Bhakkar
BHAKKAR DISTRICT,Transgender,Rural,45 - 49,50.00%,House Keeping,Bhakkar
BHAKKAR DISTRICT,Transgender,Rural,50 - 54,87.50%,House Keeping,Bhakkar
BHAKKAR DISTRICT,Transgender,Rural,55 - 59,80.00%,House Keeping,Bhakkar
BHAKKAR DISTRICT,Transgender,Rural,60 - 64,25.00%,House Keeping,Bhakkar
BHAKKAR DISTRICT,Transgender,Rural,65 - 69,50.00%,House Keeping,Bhakkar
BHAKKAR DISTRICT,Transgender,Rural,70 - 74,100.00%,House Keeping,Bhakkar
BHAKKAR DISTRICT,Transgender,Rural,75 & ABOVE,75.00%,House Keeping,Bhakkar
BHAKKAR DISTRICT,Transgender,Rural,Between 10-14,#DIV/0!,House Keeping,Bhakkar
BHAKKAR DISTRICT,Transgender,Urban,10 & ABOVE,8.82%,House Keeping,Bhakkar
BHAKKAR DISTRICT,Transgender,Urban,15 -  19,33.33%,House Keeping,Bhakkar
BHAKKAR DISTRICT,Transgender,Urban,20 - 24,0.00%,House Keeping,Bhakkar
BHAKKAR DISTRICT,Transgender,Urban,25 - 29,22.22%,House Keeping,Bhakkar
BHAKKAR DISTRICT,Transgender,Urban,30 - 34,0.00%,House Keeping,Bhakkar
BHAKKAR DISTRICT,Transgender,Urban,35 - 39,0.00%,House Keeping,Bhakkar
BHAKKAR DISTRICT,Transgender,Urban,40 - 44,0.00%,House Keeping,Bhakkar
BHAKKAR DISTRICT,Transgender,Urban,45 - 49,0.00%,House Keeping,Bhakkar
BHAKKAR DISTRICT,Transgender,Urban,50 - 54,0.00%,House Keeping,Bhakkar
BHAKKAR DISTRICT,Transgender,Urban,55 - 59,0.00%,House Keeping,Bhakkar
BHAKKAR DISTRICT,Transgender,Urban,60 - 64,0.00%,House Keeping,Bhakkar
BHAKKAR DISTRICT,Transgender,Urban,65 - 69,0.00%,House Keeping,Bhakkar
BHAKKAR DISTRICT,Transgender,Urban,70 - 74,#DIV/0!,House Keeping,Bhakkar
BHAKKAR DISTRICT,Transgender,Urban,75 & ABOVE,#DIV/0!,House Keeping,Bhakkar
BHAKKAR DISTRICT,Transgender,Urban,Between 10-14,#DIV/0!,House Keeping,Bhakkar
CHAKWAL DISTRICT,Female,Rural,10 & ABOVE,73.12%,House Keeping,Chakwal
CHAKWAL DISTRICT,Female,Rural,15 -  19,42.78%,House Keeping,Chakwal
CHAKWAL DISTRICT,Female,Rural,20 - 24,75.98%,House Keeping,Chakwal
CHAKWAL DISTRICT,Female,Rural,25 - 29,87.05%,House Keeping,Chakwal
CHAKWAL DISTRICT,Female,Rural,30 - 34,89.86%,House Keeping,Chakwal
CHAKWAL DISTRICT,Female,Rural,35 - 39,90.20%,House Keeping,Chakwal
CHAKWAL DISTRICT,Female,Rural,40 - 44,90.90%,House Keeping,Chakwal
CHAKWAL DISTRICT,Female,Rural,45 - 49,91.18%,House Keeping,Chakwal
CHAKWAL DISTRICT,Female,Rural,50 - 54,91.59%,House Keeping,Chakwal
CHAKWAL DISTRICT,Female,Rural,55 - 59,91.38%,House Keeping,Chakwal
CHAKWAL DISTRICT,Female,Rural,60 - 64,90.81%,House Keeping,Chakwal
CHAKWAL DISTRICT,Female,Rural,65 - 69,87.63%,House Keeping,Chakwal
CHAKWAL DISTRICT,Female,Rural,70 - 74,84.69%,House Keeping,Chakwal
CHAKWAL DISTRICT,Female,Rural,75 & ABOVE,77.95%,House Keeping,Chakwal
CHAKWAL DISTRICT,Female,Rural,Between 10-14,11.42%,House Keeping,Chakwal
CHAKWAL DISTRICT,Female,Urban,10 & ABOVE,65.75%,House Keeping,Chakwal
CHAKWAL DISTRICT,Female,Urban,15 -  19,27.37%,House Keeping,Chakwal
CHAKWAL DISTRICT,Female,Urban,20 - 24,61.78%,House Keeping,Chakwal
CHAKWAL DISTRICT,Female,Urban,25 - 29,80.37%,House Keeping,Chakwal
CHAKWAL DISTRICT,Female,Urban,30 - 34,85.22%,House Keeping,Chakwal
CHAKWAL DISTRICT,Female,Urban,35 - 39,86.27%,House Keeping,Chakwal
CHAKWAL DISTRICT,Female,Urban,40 - 44,87.24%,House Keeping,Chakwal
CHAKWAL DISTRICT,Female,Urban,45 - 49,87.91%,House Keeping,Chakwal
CHAKWAL DISTRICT,Female,Urban,50 - 54,88.32%,House Keeping,Chakwal
CHAKWAL DISTRICT,Female,Urban,55 - 59,88.36%,House Keeping,Chakwal
CHAKWAL DISTRICT,Female,Urban,60 - 64,87.27%,House Keeping,Chakwal
CHAKWAL DISTRICT,Female,Urban,65 - 69,85.82%,House Keeping,Chakwal
CHAKWAL DISTRICT,Female,Urban,70 - 74,81.83%,House Keeping,Chakwal
CHAKWAL DISTRICT,Female,Urban,75 & ABOVE,76.24%,House Keeping,Chakwal
CHAKWAL DISTRICT,Female,Urban,Between 10-14,8.18%,House Keeping,Chakwal
CHAKWAL DISTRICT,Male,Rural,10 & ABOVE,12.21%,House Keeping,Chakwal
CHAKWAL DISTRICT,Male,Rural,15 -  19,6.62%,House Keeping,Chakwal
CHAKWAL DISTRICT,Male,Rural,20 - 24,10.75%,House Keeping,Chakwal
CHAKWAL DISTRICT,Male,Rural,25 - 29,11.17%,House Keeping,Chakwal
CHAKWAL DISTRICT,Male,Rural,30 - 34,11.48%,House Keeping,Chakwal
CHAKWAL DISTRICT,Male,Rural,35 - 39,11.90%,House Keeping,Chakwal
CHAKWAL DISTRICT,Male,Rural,40 - 44,12.29%,House Keeping,Chakwal
CHAKWAL DISTRICT,Male,Rural,45 - 49,13.27%,House Keeping,Chakwal
CHAKWAL DISTRICT,Male,Rural,50 - 54,14.76%,House Keeping,Chakwal
CHAKWAL DISTRICT,Male,Rural,55 - 59,17.15%,House Keeping,Chakwal
CHAKWAL DISTRICT,Male,Rural,60 - 64,22.14%,House Keeping,Chakwal
CHAKWAL DISTRICT,Male,Rural,65 - 69,25.41%,House Keeping,Chakwal
CHAKWAL DISTRICT,Male,Rural,70 - 74,28.59%,House Keeping,Chakwal
CHAKWAL DISTRICT,Male,Rural,75 & ABOVE,32.03%,House Keeping,Chakwal
CHAKWAL DISTRICT,Male,Rural,Between 10-14,2.45%,House Keeping,Chakwal
CHAKWAL DISTRICT,Male,Urban,10 & ABOVE,4.91%,House Keeping,Chakwal
CHAKWAL DISTRICT,Male,Urban,15 -  19,2.38%,House Keeping,Chakwal
CHAKWAL DISTRICT,Male,Urban,20 - 24,3.17%,House Keeping,Chakwal
CHAKWAL DISTRICT,Male,Urban,25 - 29,3.79%,House Keeping,Chakwal
CHAKWAL DISTRICT,Male,Urban,30 - 34,3.55%,House Keeping,Chakwal
CHAKWAL DISTRICT,Male,Urban,35 - 39,3.42%,House Keeping,Chakwal
CHAKWAL DISTRICT,Male,Urban,40 - 44,4.26%,House Keeping,Chakwal
CHAKWAL DISTRICT,Male,Urban,45 - 49,3.55%,House Keeping,Chakwal
CHAKWAL DISTRICT,Male,Urban,50 - 54,5.60%,House Keeping,Chakwal
CHAKWAL DISTRICT,Male,Urban,55 - 59,7.86%,House Keeping,Chakwal
CHAKWAL DISTRICT,Male,Urban,60 - 64,11.83%,House Keeping,Chakwal
CHAKWAL DISTRICT,Male,Urban,65 - 69,15.74%,House Keeping,Chakwal
CHAKWAL DISTRICT,Male,Urban,70 - 74,20.09%,House Keeping,Chakwal
CHAKWAL DISTRICT,Male,Urban,75 & ABOVE,23.91%,House Keeping,Chakwal
CHAKWAL DISTRICT,Male,Urban,Between 10-14,2.09%,House Keeping,Chakwal
CHAKWAL DISTRICT,Transgender,Rural,10 & ABOVE,52.94%,House Keeping,Chakwal
CHAKWAL DISTRICT,Transgender,Rural,15 -  19,42.86%,House Keeping,Chakwal
CHAKWAL DISTRICT,Transgender,Rural,20 - 24,42.86%,House Keeping,Chakwal
CHAKWAL DISTRICT,Transgender,Rural,25 - 29,20.00%,House Keeping,Chakwal
CHAKWAL DISTRICT,Transgender,Rural,30 - 34,37.50%,House Keeping,Chakwal
CHAKWAL DISTRICT,Transgender,Rural,35 - 39,50.00%,House Keeping,Chakwal
CHAKWAL DISTRICT,Transgender,Rural,40 - 44,50.00%,House Keeping,Chakwal
CHAKWAL DISTRICT,Transgender,Rural,45 - 49,87.50%,House Keeping,Chakwal
CHAKWAL DISTRICT,Transgender,Rural,50 - 54,50.00%,House Keeping,Chakwal
CHAKWAL DISTRICT,Transgender,Rural,55 - 59,50.00%,House Keeping,Chakwal
CHAKWAL DISTRICT,Transgender,Rural,60 - 64,100.00%,House Keeping,Chakwal
CHAKWAL DISTRICT,Transgender,Rural,65 - 69,75.00%,House Keeping,Chakwal
CHAKWAL DISTRICT,Transgender,Rural,70 - 74,0.00%,House Keeping,Chakwal
CHAKWAL DISTRICT,Transgender,Rural,75 & ABOVE,75.00%,House Keeping,Chakwal
CHAKWAL DISTRICT,Transgender,Rural,Between 10-14,#DIV/0!,House Keeping,Chakwal
CHAKWAL DISTRICT,Transgender,Urban,10 & ABOVE,33.33%,House Keeping,Chakwal
CHAKWAL DISTRICT,Transgender,Urban,15 -  19,0.00%,House Keeping,Chakwal
CHAKWAL DISTRICT,Transgender,Urban,20 - 24,20.00%,House Keeping,Chakwal
CHAKWAL DISTRICT,Transgender,Urban,25 - 29,0.00%,House Keeping,Chakwal
CHAKWAL DISTRICT,Transgender,Urban,30 - 34,33.33%,House Keeping,Chakwal
CHAKWAL DISTRICT,Transgender,Urban,35 - 39,30.00%,House Keeping,Chakwal
CHAKWAL DISTRICT,Transgender,Urban,40 - 44,0.00%,House Keeping,Chakwal
CHAKWAL DISTRICT,Transgender,Urban,45 - 49,75.00%,House Keeping,Chakwal
CHAKWAL DISTRICT,Transgender,Urban,50 - 54,0.00%,House Keeping,Chakwal
CHAKWAL DISTRICT,Transgender,Urban,55 - 59,50.00%,House Keeping,Chakwal
CHAKWAL DISTRICT,Transgender,Urban,60 - 64,100.00%,House Keeping,Chakwal
CHAKWAL DISTRICT,Transgender,Urban,65 - 69,100.00%,House Keeping,Chakwal
CHAKWAL DISTRICT,Transgender,Urban,70 - 74,100.00%,House Keeping,Chakwal
CHAKWAL DISTRICT,Transgender,Urban,75 & ABOVE,100.00%,House Keeping,Chakwal
CHAKWAL DISTRICT,Transgender,Urban,Between 10-14,#DIV/0!,House Keeping,Chakwal
CHINIOT DISTRICT,Female,Rural,10 & ABOVE,80.12%,House Keeping,Chiniot
CHINIOT DISTRICT,Female,Rural,15 -  19,73.96%,House Keeping,Chiniot
CHINIOT DISTRICT,Female,Rural,20 - 24,86.85%,House Keeping,Chiniot
CHINIOT DISTRICT,Female,Rural,25 - 29,89.99%,House Keeping,Chiniot
CHINIOT DISTRICT,Female,Rural,30 - 34,90.81%,House Keeping,Chiniot
CHINIOT DISTRICT,Female,Rural,35 - 39,90.74%,House Keeping,Chiniot
CHINIOT DISTRICT,Female,Rural,40 - 44,91.15%,House Keeping,Chiniot
CHINIOT DISTRICT,Female,Rural,45 - 49,91.34%,House Keeping,Chiniot
CHINIOT DISTRICT,Female,Rural,50 - 54,91.36%,House Keeping,Chiniot
CHINIOT DISTRICT,Female,Rural,55 - 59,90.88%,House Keeping,Chiniot
CHINIOT DISTRICT,Female,Rural,60 - 64,89.16%,House Keeping,Chiniot
CHINIOT DISTRICT,Female,Rural,65 - 69,87.17%,House Keeping,Chiniot
CHINIOT DISTRICT,Female,Rural,70 - 74,83.05%,House Keeping,Chiniot
CHINIOT DISTRICT,Female,Rural,75 & ABOVE,77.60%,House Keeping,Chiniot
CHINIOT DISTRICT,Female,Rural,Between 10-14,39.94%,House Keeping,Chiniot
CHINIOT DISTRICT,Female,Urban,10 & ABOVE,70.24%,House Keeping,Chiniot
CHINIOT DISTRICT,Female,Urban,15 -  19,44.33%,House Keeping,Chiniot
CHINIOT DISTRICT,Female,Urban,20 - 24,74.41%,House Keeping,Chiniot
CHINIOT DISTRICT,Female,Urban,25 - 29,86.63%,House Keeping,Chiniot
CHINIOT DISTRICT,Female,Urban,30 - 34,89.64%,House Keeping,Chiniot
CHINIOT DISTRICT,Female,Urban,35 - 39,90.68%,House Keeping,Chiniot
CHINIOT DISTRICT,Female,Urban,40 - 44,90.74%,House Keeping,Chiniot
CHINIOT DISTRICT,Female,Urban,45 - 49,89.52%,House Keeping,Chiniot
CHINIOT DISTRICT,Female,Urban,50 - 54,91.63%,House Keeping,Chiniot
CHINIOT DISTRICT,Female,Urban,55 - 59,90.59%,House Keeping,Chiniot
CHINIOT DISTRICT,Female,Urban,60 - 64,89.13%,House Keeping,Chiniot
CHINIOT DISTRICT,Female,Urban,65 - 69,85.60%,House Keeping,Chiniot
CHINIOT DISTRICT,Female,Urban,70 - 74,78.57%,House Keeping,Chiniot
CHINIOT DISTRICT,Female,Urban,75 & ABOVE,73.26%,House Keeping,Chiniot
CHINIOT DISTRICT,Female,Urban,Between 10-14,15.80%,House Keeping,Chiniot
CHINIOT DISTRICT,Male,Rural,10 & ABOVE,12.01%,House Keeping,Chiniot
CHINIOT DISTRICT,Male,Rural,15 -  19,9.86%,House Keeping,Chiniot
CHINIOT DISTRICT,Male,Rural,20 - 24,11.56%,House Keeping,Chiniot
CHINIOT DISTRICT,Male,Rural,25 - 29,12.04%,House Keeping,Chiniot
CHINIOT DISTRICT,Male,Rural,30 - 34,11.73%,House Keeping,Chiniot
CHINIOT DISTRICT,Male,Rural,35 - 39,12.74%,House Keeping,Chiniot
CHINIOT DISTRICT,Male,Rural,40 - 44,13.02%,House Keeping,Chiniot
CHINIOT DISTRICT,Male,Rural,45 - 49,13.36%,House Keeping,Chiniot
CHINIOT DISTRICT,Male,Rural,50 - 54,14.10%,House Keeping,Chiniot
CHINIOT DISTRICT,Male,Rural,55 - 59,15.50%,House Keeping,Chiniot
CHINIOT DISTRICT,Male,Rural,60 - 64,16.89%,House Keeping,Chiniot
CHINIOT DISTRICT,Male,Rural,65 - 69,18.51%,House Keeping,Chiniot
CHINIOT DISTRICT,Male,Rural,70 - 74,22.04%,House Keeping,Chiniot
CHINIOT DISTRICT,Male,Rural,75 & ABOVE,22.82%,House Keeping,Chiniot
CHINIOT DISTRICT,Male,Rural,Between 10-14,6.05%,House Keeping,Chiniot
CHINIOT DISTRICT,Male,Urban,10 & ABOVE,3.86%,House Keeping,Chiniot
CHINIOT DISTRICT,Male,Urban,15 -  19,3.23%,House Keeping,Chiniot
CHINIOT DISTRICT,Male,Urban,20 - 24,3.47%,House Keeping,Chiniot
CHINIOT DISTRICT,Male,Urban,25 - 29,3.38%,House Keeping,Chiniot
CHINIOT DISTRICT,Male,Urban,30 - 34,3.11%,House Keeping,Chiniot
CHINIOT DISTRICT,Male,Urban,35 - 39,2.93%,House Keeping,Chiniot
CHINIOT DISTRICT,Male,Urban,40 - 44,2.82%,House Keeping,Chiniot
CHINIOT DISTRICT,Male,Urban,45 - 49,3.01%,House Keeping,Chiniot
CHINIOT DISTRICT,Male,Urban,50 - 54,3.28%,House Keeping,Chiniot
CHINIOT DISTRICT,Male,Urban,55 - 59,4.33%,House Keeping,Chiniot
CHINIOT DISTRICT,Male,Urban,60 - 64,7.22%,House Keeping,Chiniot
CHINIOT DISTRICT,Male,Urban,65 - 69,10.84%,House Keeping,Chiniot
CHINIOT DISTRICT,Male,Urban,70 - 74,13.18%,House Keeping,Chiniot
CHINIOT DISTRICT,Male,Urban,75 & ABOVE,16.85%,House Keeping,Chiniot
CHINIOT DISTRICT,Male,Urban,Between 10-14,2.79%,House Keeping,Chiniot
CHINIOT DISTRICT,Transgender,Rural,10 & ABOVE,48.10%,House Keeping,Chiniot
CHINIOT DISTRICT,Transgender,Rural,15 -  19,44.44%,House Keeping,Chiniot
CHINIOT DISTRICT,Transgender,Rural,20 - 24,50.00%,House Keeping,Chiniot
CHINIOT DISTRICT,Transgender,Rural,25 - 29,66.67%,House Keeping,Chiniot
CHINIOT DISTRICT,Transgender,Rural,30 - 34,20.00%,House Keeping,Chiniot
CHINIOT DISTRICT,Transgender,Rural,35 - 39,0.00%,House Keeping,Chiniot
CHINIOT DISTRICT,Transgender,Rural,40 - 44,25.00%,House Keeping,Chiniot
CHINIOT DISTRICT,Transgender,Rural,45 - 49,100.00%,House Keeping,Chiniot
CHINIOT DISTRICT,Transgender,Rural,50 - 54,71.43%,House Keeping,Chiniot
CHINIOT DISTRICT,Transgender,Rural,55 - 59,33.33%,House Keeping,Chiniot
CHINIOT DISTRICT,Transgender,Rural,60 - 64,40.00%,House Keeping,Chiniot
CHINIOT DISTRICT,Transgender,Rural,65 - 69,75.00%,House Keeping,Chiniot
CHINIOT DISTRICT,Transgender,Rural,70 - 74,40.00%,House Keeping,Chiniot
CHINIOT DISTRICT,Transgender,Rural,75 & ABOVE,62.50%,House Keeping,Chiniot
CHINIOT DISTRICT,Transgender,Rural,Between 10-14,#DIV/0!,House Keeping,Chiniot
CHINIOT DISTRICT,Transgender,Urban,10 & ABOVE,33.33%,House Keeping,Chiniot
CHINIOT DISTRICT,Transgender,Urban,15 -  19,14.29%,House Keeping,Chiniot
CHINIOT DISTRICT,Transgender,Urban,20 - 24,37.50%,House Keeping,Chiniot
CHINIOT DISTRICT,Transgender,Urban,25 - 29,12.50%,House Keeping,Chiniot
CHINIOT DISTRICT,Transgender,Urban,30 - 34,55.56%,House Keeping,Chiniot
CHINIOT DISTRICT,Transgender,Urban,35 - 39,33.33%,House Keeping,Chiniot
CHINIOT DISTRICT,Transgender,Urban,40 - 44,0.00%,House Keeping,Chiniot
CHINIOT DISTRICT,Transgender,Urban,45 - 49,0.00%,House Keeping,Chiniot
CHINIOT DISTRICT,Transgender,Urban,50 - 54,57.14%,House Keeping,Chiniot
CHINIOT DISTRICT,Transgender,Urban,55 - 59,0.00%,House Keeping,Chiniot
CHINIOT DISTRICT,Transgender,Urban,60 - 64,0.00%,House Keeping,Chiniot
CHINIOT DISTRICT,Transgender,Urban,65 - 69,#DIV/0!,House Keeping,Chiniot
CHINIOT DISTRICT,Transgender,Urban,70 - 74,100.00%,House Keeping,Chiniot
CHINIOT DISTRICT,Transgender,Urban,75 & ABOVE,66.67%,House Keeping,Chiniot
CHINIOT DISTRICT,Transgender,Urban,Between 10-14,#DIV/0!,House Keeping,Chiniot
DERA GHAZI KHAN DISTRICT,Female,Rural,10 & ABOVE,79.92%,House Keeping,Dera Ghazi Khan
DERA GHAZI KHAN DISTRICT,Female,Rural,15 -  19,76.31%,House Keeping,Dera Ghazi Khan
DERA GHAZI KHAN DISTRICT,Female,Rural,20 - 24,88.36%,House Keeping,Dera Ghazi Khan
DERA GHAZI KHAN DISTRICT,Female,Rural,25 - 29,90.76%,House Keeping,Dera Ghazi Khan
DERA GHAZI KHAN DISTRICT,Female,Rural,30 - 34,91.65%,House Keeping,Dera Ghazi Khan
DERA GHAZI KHAN DISTRICT,Female,Rural,35 - 39,92.13%,House Keeping,Dera Ghazi Khan
DERA GHAZI KHAN DISTRICT,Female,Rural,40 - 44,91.77%,House Keeping,Dera Ghazi Khan
DERA GHAZI KHAN DISTRICT,Female,Rural,45 - 49,91.82%,House Keeping,Dera Ghazi Khan
DERA GHAZI KHAN DISTRICT,Female,Rural,50 - 54,91.04%,House Keeping,Dera Ghazi Khan
DERA GHAZI KHAN DISTRICT,Female,Rural,55 - 59,90.06%,House Keeping,Dera Ghazi Khan
DERA GHAZI KHAN DISTRICT,Female,Rural,60 - 64,88.28%,House Keeping,Dera Ghazi Khan
DERA GHAZI KHAN DISTRICT,Female,Rural,65 - 69,85.81%,House Keeping,Dera Ghazi Khan
DERA GHAZI KHAN DISTRICT,Female,Rural,70 - 74,82.24%,House Keeping,Dera Ghazi Khan
DERA GHAZI KHAN DISTRICT,Female,Rural,75 & ABOVE,76.54%,House Keeping,Dera Ghazi Khan
DERA GHAZI KHAN DISTRICT,Female,Rural,Between 10-14,47.92%,House Keeping,Dera Ghazi Khan
DERA GHAZI KHAN DISTRICT,Female,Urban,10 & ABOVE,67.06%,House Keeping,Dera Ghazi Khan
DERA GHAZI KHAN DISTRICT,Female,Urban,15 -  19,44.28%,House Keeping,Dera Ghazi Khan
DERA GHAZI KHAN DISTRICT,Female,Urban,20 - 24,71.19%,House Keeping,Dera Ghazi Khan
DERA GHAZI KHAN DISTRICT,Female,Urban,25 - 29,83.33%,House Keeping,Dera Ghazi Khan
DERA GHAZI KHAN DISTRICT,Female,Urban,30 - 34,87.66%,House Keeping,Dera Ghazi Khan
DERA GHAZI KHAN DISTRICT,Female,Urban,35 - 39,89.84%,House Keeping,Dera Ghazi Khan
DERA GHAZI KHAN DISTRICT,Female,Urban,40 - 44,89.42%,House Keeping,Dera Ghazi Khan
DERA GHAZI KHAN DISTRICT,Female,Urban,45 - 49,88.95%,House Keeping,Dera Ghazi Khan
DERA GHAZI KHAN DISTRICT,Female,Urban,50 - 54,88.44%,House Keeping,Dera Ghazi Khan
DERA GHAZI KHAN DISTRICT,Female,Urban,55 - 59,87.97%,House Keeping,Dera Ghazi Khan
DERA GHAZI KHAN DISTRICT,Female,Urban,60 - 64,87.07%,House Keeping,Dera Ghazi Khan
DERA GHAZI KHAN DISTRICT,Female,Urban,65 - 69,84.08%,House Keeping,Dera Ghazi Khan
DERA GHAZI KHAN DISTRICT,Female,Urban,70 - 74,80.34%,House Keeping,Dera Ghazi Khan
DERA GHAZI KHAN DISTRICT,Female,Urban,75 & ABOVE,74.73%,House Keeping,Dera Ghazi Khan
DERA GHAZI KHAN DISTRICT,Female,Urban,Between 10-14,15.76%,House Keeping,Dera Ghazi Khan
DERA GHAZI KHAN DISTRICT,Male,Rural,10 & ABOVE,20.31%,House Keeping,Dera Ghazi Khan
DERA GHAZI KHAN DISTRICT,Male,Rural,15 -  19,19.30%,House Keeping,Dera Ghazi Khan
DERA GHAZI KHAN DISTRICT,Male,Rural,20 - 24,21.42%,House Keeping,Dera Ghazi Khan
DERA GHAZI KHAN DISTRICT,Male,Rural,25 - 29,21.29%,House Keeping,Dera Ghazi Khan
DERA GHAZI KHAN DISTRICT,Male,Rural,30 - 34,21.15%,House Keeping,Dera Ghazi Khan
DERA GHAZI KHAN DISTRICT,Male,Rural,35 - 39,21.12%,House Keeping,Dera Ghazi Khan
DERA GHAZI KHAN DISTRICT,Male,Rural,40 - 44,21.64%,House Keeping,Dera Ghazi Khan
DERA GHAZI KHAN DISTRICT,Male,Rural,45 - 49,22.16%,House Keeping,Dera Ghazi Khan
DERA GHAZI KHAN DISTRICT,Male,Rural,50 - 54,22.51%,House Keeping,Dera Ghazi Khan
DERA GHAZI KHAN DISTRICT,Male,Rural,55 - 59,24.03%,House Keeping,Dera Ghazi Khan
DERA GHAZI KHAN DISTRICT,Male,Rural,60 - 64,26.94%,House Keeping,Dera Ghazi Khan
DERA GHAZI KHAN DISTRICT,Male,Rural,65 - 69,28.71%,House Keeping,Dera Ghazi Khan
DERA GHAZI KHAN DISTRICT,Male,Rural,70 - 74,30.72%,House Keeping,Dera Ghazi Khan
DERA GHAZI KHAN DISTRICT,Male,Rural,75 & ABOVE,31.02%,House Keeping,Dera Ghazi Khan
DERA GHAZI KHAN DISTRICT,Male,Rural,Between 10-14,14.42%,House Keeping,Dera Ghazi Khan
DERA GHAZI KHAN DISTRICT,Male,Urban,10 & ABOVE,4.79%,House Keeping,Dera Ghazi Khan
DERA GHAZI KHAN DISTRICT,Male,Urban,15 -  19,3.97%,House Keeping,Dera Ghazi Khan
DERA GHAZI KHAN DISTRICT,Male,Urban,20 - 24,4.42%,House Keeping,Dera Ghazi Khan
DERA GHAZI KHAN DISTRICT,Male,Urban,25 - 29,3.69%,House Keeping,Dera Ghazi Khan
